Sample_num,Sample_name
Sample #1,A10
Sample #2,A11
Sample #3,A13
Sample #4,A14
Sample #5,A16
Sample #6,A17
Sample #7,A18
Sample #8,A19
Sample #9,A1
Sample #10,A2
Sample #11,A3
Sample #12,A4
Sample #13,A5
Sample #14,A6
Sample #15,A7
Sample #16,A8
Sample #17,A9
Sample #18,DRR214959
Sample #19,DRR214960
Sample #20,DRR214961
Sample #21,DRR214962
Sample #22,DRR241310
Sample #23,SRR5892208
Sample #24,SRR5892209
Sample #25,SRR5892210
Sample #26,SRR5892211
Sample #27,SRR5892212
Sample #28,SRR5892213
Sample #29,SRR5892214
Sample #30,SRR5892215
Sample #31,SRR5892216
Sample #32,SRR5892217
Sample #33,SRS013942
Sample #34,SRS014468
Sample #35,SRS014692
Sample #36,SRS015055
Sample #37,SRS019120